L	b2	b4	b8	b16	b32	u2	u4	u8	u16	u32
79.0	2550.6675701182444	3403.964882129734	4172.158669678824	4754.942267865549	5147.181749244134	2716.894819863489	3640.741625155707	4681.142796553121	5242.88	5577.531914893617
80.0	2548.5944142688836	3401.451229766269	4168.072756514379	4751.79657540186	5145.1069047312185	2716.7209385950177	3640.739761095995	4681.142795786162	5242.88	5577.531914893617
81.0	2546.524550921367	3398.944586132011	4164.021115851836	4748.682462327409	5143.05120113238	2716.5470684549477	3640.737897037238	4681.142795019204	5242.88	5577.531914893617
82.0	2544.4579746158715	3396.444929537553	4160.003372791137	4745.599466321278	5141.0143793809175	2716.373209442567	3640.736032979434	4681.142794252245	5242.88	5577.531914893617
83.0	2542.3946799016476	3393.9522383613385	4156.019156768074	4742.5471326809675	5138.996184441293	2716.199361557163	3640.7341689225855	4681.142793485286	5242.88	5577.531914893617
84.0	2540.334661336998	3391.466491049448	4152.068101503546	4739.52501419192	5136.996365242706	2716.025524798023	3640.7323048666917	4681.142792718328	5242.88	5577.531914893617
85.0	2538.2779134892685	3388.987666115387	4148.1498449534165	4736.532670999289	5135.01467461378	2715.851699164436	3640.7304408117516	4681.142791951369	5242.88	5577.531914893617
86.0	2536.2244309348293	3386.5157421398753	4144.264029258962	4733.5696704819375	5133.050869218366	2715.67788465569	3640.728576757766	4681.14279118441	5242.88	5577.531914893617
87.0	2534.174208259062	3384.0506977706345	4140.410300697903	4730.635587128629	5131.104709492414	2715.5040812710718	3640.726712704735	4681.142790417452	5242.88	5577.531914893617
88.0	2532.127240056344	3381.5925117221827	4136.588309636002	4727.730002416348	5129.175959581926	2715.3302890098707	3640.7248486526582	4681.142789650493	5242.88	5577.531914893617
89.0	2530.0835209300326	3379.1411627756206	4132.79771047924	4725.111449179523	5127.26438728194	2715.1565078713743	3640.7229846015357	4681.142788883534	5041.2307692307695	5577.531914893617
90.0	2528.043045492451	3376.696629778425	4129.038161626542	4723.078400599582	5125.369763976557	2714.9827378548707	3640.721120551368	4681.1427881165755	5041.2307692307695	5577.531914893617
91.0	2526.0058083648737	3374.2588916442414	4125.309325423066	4721.056501045151	5123.491864579972	2714.808978959648	3640.7192565021546	4681.142787349617	5041.2307692307695	5577.531914893617
92.0	2523.971804177512	3371.827927352676	4121.610868114034	4719.045670377416	5121.630467478496	2714.6352311849946	3640.717392453895	4681.142786582658	5041.2307692307695	5577.531914893617
93.0	2521.9410275694954	3369.403715949089	4117.942459799113	4717.045829077222	5119.785354473571	2714.461494530199	3640.7155284065902	4681.142785815699	5041.2307692307695	5577.531914893617
94.0	2519.9134731888635	3366.9862365443882	4114.303774387318	4715.056898240163	5117.956310725725	2714.2877689945494	3640.7136643602403	4681.142785048741	5041.2307692307695	5577.531914893617
95.0	2517.889135692545	3364.5754683148266	4110.694489552459	4713.078799571734	5116.143124699488	2714.1140545773337	3640.7118003148444	4681.142784281782	5041.2307692307695	5577.531914893617
96.0	2515.868009746347	3362.1713905017937	4107.114286689098	4711.111455382516	5114.3455881092295	2713.940351277841	3640.7099362704025	4681.142783514823	5041.2307692307695	5577.531914893617
97.0	2513.8500900249364	3359.7739824116147	4103.562850869028	4709.154788583391	5112.563495865907	2713.766659095359	3640.708072226915	4681.142782747865	5041.2307692307695	5577.531914893617
98.0	2511.8353712118296	3357.3832234153447	4101.520759337016	4707.2087226808035	5110.796646024714	2713.592978029177	3640.7062081843824	4369.066652636436	5041.2307692307695	5577.531914893617
99.0	2509.8238479993747	3354.9990929485684	4099.530564490736	4705.2731817720605	5109.044839733613	2713.4193080785835	3640.704344142804	4369.06665249327	5041.2307692307695	5577.531914893617
100.0	2507.815515088738	3352.6215705111963	4097.547225752742	4703.348090540659	5107.307881182727	2713.245649242867	3640.7024801021803	4369.066652350104	5041.2307692307695	5577.531914893617
