L	b2	b3	b4	u2	u3	u4
526.0	9.725355430070817e-7	32.66669381874245	835.8181847867777	3.873098325318807e-6	119.82005006829594	3528.5395822651044
527.0	9.324089544406276e-7	32.39291785469301	834.395295215957	3.7181743923060543e-6	118.86148966774958	3522.89391893348
528.0	8.939379795137562e-7	32.12143637685351	832.9748284617268	3.569447416613812e-6	117.91059775040758	3517.2572886631865
529.0	8.570543079957328e-7	31.852230155387648	831.5567803846957	3.4266695199492595e-6	116.96731296840431	3511.629677001325
530.0	8.216924481199325e-7	31.5852801216223	830.1411468529328	3.2896027391512887e-6	116.03157446465708	3506.011069518123
531.0	7.877896102946718e-7	31.320567366696753	828.7279237419432	3.1580186295852373e-6	115.10332186893983	3500.401451806894
532.0	7.552855956121037e-7	31.0580731402234	827.3171069346437	3.0316978844018274e-6	114.18249529398831	3494.8008094840025
533.0	7.241226889572099e-7	30.797778848959556	825.9086923213404	2.9104299690257543e-6	113.2690353316364	3489.209128188828
534.0	6.942455565270909e-7	30.53966605549046	824.5026757997042	2.7940127702647243e-6	112.3628830489833	3483.626393583726
535.0	6.656011475785855e-7	30.2837164769233	823.0990532747492	2.682252259454135e-6	111.46397998459145	3478.052591353992
536.0	6.381386002297622e-7	30.02991198359216	821.6978206588094	2.5749621690759698e-6	110.57226814471471	3472.487707207825
537.0	6.118091511480167e-7	29.77823459777387	820.2989738715169	2.471963682312931e-6	109.687689999557	3466.9317268762925
538.0	5.865660489644195e-7	29.528666492414573	818.9025088397802	2.3730851350204132e-6	108.81018847956052	3461.38463611329
539.0	5.623644712605654e-7	29.28118998986699	817.5084214977619	2.2781617296195966e-6	107.93970697172405	3455.8464206955086
540.0	5.391614449805276e-7	29.03578756063826	816.1167077868583	2.187035260434813e-6	107.07618931595026	3450.317066422396
541.0	5.169157701265948e-7	28.792441822148266	814.7273636556783	2.0995538500174204e-6	106.21957980142265	3444.7965591161196
542.0	4.955879466033053e-7	28.551135537498386	813.3403850600221	2.0155716960167234e-6	105.36982316301128	3439.284884621534
